Description,Category,Amount,Currency
Dk-Ind02.08,Sale of Goods,612.35,DKK
"Simply.com, Skanderborg",Software and subscription services,675.0,DKK
Dk-Ind02.06,Sale of Goods,1264.35,DKK
Dk-Ind25.04,Sale of Goods,297.0,DKK
Anyday Settlement,Sale of Goods,0.0,DKK
Dk-Ind06.06,Sale of Goods,686.9,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
"Regnskabshelten, Kobenhavn K",Professional fees,0.0,DKK
Dk-Ind17.05,Sale of Goods,609.2,DKK
Dk-Ind29.03,Sale of Goods,159.95,DKK
Dk3dsf05.04,Sale of Goods,393.25,DKK
"FACEBK Q9SGKQ3UK2, fb.me/ads",Marketing and advertising,-6000.0,DKK
Dk3dsf15.03,Sale of Goods,1367.28,DKK
Dk-Ind04.05,Sale of Goods,454.35,DKK
Dk-Ind19.08,Sale of Goods,410.66,DKK
"Clearing: CLEARING-20234688908 (period Jul 202 / Funds: 407,50",Sale of Goods,407.5,EUR
Fragt,Shipping & Logistics,-21786.0,DKK
Dk-Ind27.04,Sale of Goods,2041.85,DKK
Dk-Ind24.04,Sale of Goods,740.2,DKK
Dk-Ind16.03,Sale of Goods,571.75,DKK
"Udenlandsk overførsel til SHENZHEN QUANKE TEXTILE CO., LTD omregnet fra 100,00 USD til kurs 681,085000 KRON23050900898Y",Transfer,-681.09,DKK
"FACEBK Z99N4JTTK2, fb.me/ads,",Marketing and advertising,-570.3,DKK
Helsam,Inventory / Equipment,-8665.11,DKK
"FACEBK SKJLGS7TK2, fb.me/ads",Marketing and advertising,-6000.0,DKK
Dk-Ind17.07,Sale of Goods,97.5,DKK
Dk-Ind14.07,Sale of Goods,165.78,DKK
Notanr,Debit-/Credit payments,-25.0,DKK
Helsam,Inventory / Equipment,-9200.0,DKK
Dk-Ind27.04,Sale of Goods,967.5,DKK
10852425 Txid 726814551 Multisafepay Payout merchant:10852425 20-05-2023,Sale of Goods,977.07,EUR
Dk-Ind18.08,Sale of Goods,613.0,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Harald Nyborg Hade,Office-/warehouse supplies & interior,-168.0,DKK
Dk3dsf28.06,Sale of Goods,485.0,DKK
"Snap, 310-399-3339",Marketing and advertising,-99.98,DKK
Dk-Ind25.04,Sale of Goods,846.9,DKK
Advis 122212071202401,Sale of Goods,0.0,DKK
"FACEBK PMAGUR32L2, fb.me/ads,",Marketing and advertising,-3000.0,DKK
Afdrag varelager,Inventory / Equipment,-1500.0,DKK
Dk-Ind17.07,Sale of Goods,386.4,DKK
Shipmondo.com (DK),Shipping & Logistics,-500.0,DKK
Dk3dsf14.04,Sale of Goods,1179.65,DKK
Dk-Ind22.08,Sale of Goods,310.28,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind29.06,Sale of Goods,608.25,DKK
"3 Danmark, Koebenhavn SV",Software and subscription services,-528.0,DKK
Dk-Ind11.07,Sale of Goods,270.53,DKK
Notanr,Debit-/Credit payments,-25.0,DKK
"GSUITE VITIO.DK, Dublin",Software and subscription services,-80.0,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
"FACEBK 8J2PYKBTK2, fb.me/ads",Marketing and advertising,0.0,DKK
"Snap, 310-399-3339",Marketing and advertising,-10.8,DKK
Dk3dsf17.05,Sale of Goods,3178.85,DKK
Løn Henning,"Payroll, Salary & Retirement contributions",-31250.0,DKK
Advis 122308010206317 / Invoice,Transfer,5527.5,DKK
Dk3dsf21.04,Sale of Goods,1848.24,DKK
LeverandørService 58696MXNEY FINANCE APS,Loans/ Debts,-18500.23,DKK
Dk3dsf06.06,Sale of Goods,419.5,DKK
Ann. postering fra 28-02-2023,Shipping & Logistics,82.0,DKK
Dk-Ind26.06,Sale of Goods,413.1,DKK
21044193MI 1030000754682372 ROLLZONE*,Inventory / Equipment,-54.45,EUR
Dk-Ind19.04,Sale of Goods,479.15,DKK
Advis 122206010905132,Sale of Goods,11957.08,DKK
Dk-Ind24.05,Sale of Goods,154.5,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Dk-Ind22.05,Sale of Goods,589.3,DKK
Chbjcph,Sale of Goods,0.0,DKK
Dk-Ind09.05,Sale of Goods,662.95,DKK
Advis 122212071202404,Sale of Goods,9253.31,DKK
"FACEBK GHYXZN3UK2, fb.me/ads",Marketing and advertising,-6000.0,DKK
Dk-Ind22.03,Sale of Goods,1412.4,DKK
Dk-Ind06.07,Sale of Goods,132.23,DKK
Refundering af fragt til kunde,Shipping & Logistics,0.0,DKK
Advis 122302030137191 / F:30/MS Branding A/S,Sale of Goods,3747.5,DKK
Dk3dsf17.04,Sale of Goods,521.4,DKK
Kontanten,Sale of Goods,6000.0,DKK
Dk-Ind10.04,Sale of Goods,228.0,DKK
Dk-Ind24.04,Sale of Goods,394.75,DKK
WD2023030201J,Loans/ Debts,27011.75,EUR
CAMETTE APS,Inventory / Equipment,-1332.0,DKK
Dk3dsf27.04,Sale of Goods,857.05,DKK
"FACEBK XWKLBNXSK2, fb.me/ads",Marketing and advertising,-6000.0,DKK
Tikkie ID B20230524X002HJXR00000042796 Refund Instapark,Sale of Goods,0.54,EUR
VB9WLDXTMBSRC2C2LJUL 0180314332052383 Uber,Nonbusiness costs,-14.74,EUR
Postering,Shipping & Logistics,-105.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind17.07,Sale of Goods,273.7,DKK
Dk-Ind07.06,Sale of Goods,238.4,DKK
Dk3dsf01.06,Sale of Goods,619.2,DKK
Dk-Ind28.07,Sale of Goods,309.5,DKK
Overførsel,Intragroup exchange,50000.0,DKK
Dk3dsf07.07,Sale of Goods,693.6,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Dk3dsf07.06,Sale of Goods,386.25,DKK
Dk-Ind28.04,Sale of Goods,457.4,DKK
Dk-Ind17.04,Sale of Goods,921.55,DKK
Udland - GUANGZHOU GUANGYANGZHIXING,Inventory / Equipment,-36132.1,DKK
10852425 Txid 727984483 Multisafepay Payout merchant:10852425 23-05-2023,Sale of Goods,2061.25,EUR
Dk-Ind22.05,Sale of Goods,284.0,DKK
"Postnord Porto, Koebenhavn S",Shipping & Logistics,-160.0,DKK
Dk-Ind12.08,Sale of Goods,405.3,DKK
Dk-Ind09.08,Sale of Goods,70.1,DKK
Dk-Ind24.03,Sale of Goods,1147.2,DKK
-398.00 EUR to GoCardless,Loans/ Debts,-398.0,EUR
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind23.08,Sale of Goods,209.45,DKK
Dk-Ind02.06,Sale of Goods,509.1,DKK
Dk-Ind22.05,Sale of Goods,408.25,DKK
Dk3dsf14.07,Sale of Goods,2555.68,DKK
Dk-Ind03.08,Sale of Goods,304.9,DKK
"Shell Maasboulevard Rotterdam, Nl",Nonbusiness costs,-10.99,EUR
"GSUITE VITIO.DK, Dublin",Software and subscription services,-80.0,DKK
Dk-Ind20.03,Sale of Goods,514.7,DKK
Dk-Ind19.07,Sale of Goods,344.75,DKK
"Shopify* 168090564, Dublin",Software and subscription services,0.0,DKK
-100.00 EUR to Mohammad Umair,Nonbusiness costs,-100.0,EUR
Dk-Ind17.07,Sale of Goods,254.65,DKK
"Clearing: CLEARING-20234499227 (period May 202 / Funds: 1.316,75",Sale of Goods,1316.75,EUR
Helsam,Inventory / Equipment,-23260.48,DKK
Dk-Ind29.06,Sale of Goods,-1054.0,DKK
Dk-Ind06.06,Sale of Goods,346.79,DKK
Dk-Ind05.08,Sale of Goods,161.7,DKK
Advis 122306121202214 / Clearhaus AS,Sale of Goods,11029.41,DKK
Postering,Shipping & Logistics,-30.0,DKK
Dk-Ind14.08,Sale of Goods,364.0,DKK
Dk-Ind26.04,Sale of Goods,135.65,DKK
CAMETTE APS,Inventory / Equipment,-740.25,DKK
Dk-Ind20.03,Sale of Goods,524.7,DKK
"Clearing: CLEARING-20234433848 (period Apr 202 / Funds: 209,00",Sale of Goods,209.0,EUR
Dk-Ind15.08,Sale of Goods,611.55,DKK
Dk-Ind10.05,Sale of Goods,181.58,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk3dsf14.04,Sale of Goods,1033.05,DKK
Dk-Ind06.08,Sale of Goods,373.3,DKK
Dk-Ind24.07,Sale of Goods,648.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind05.08,Sale of Goods,338.4,DKK
Dk-Ind01.05,Sale of Goods,210.45,DKK
-10.00 EUR to Mohammad Umair,Nonbusiness costs,-10.0,EUR
"Ads3297518833, 650-253-0000",Marketing and advertising,-6000.0,DKK
Dk-Ind22.05,Sale of Goods,523.6,DKK
Dk-Ind03.04,Sale of Goods,159.5,DKK
Dk-Ind08.05,Sale of Goods,545.66,DKK
Dk-Ind03.08,Sale of Goods,1325.05,DKK
Google,Marketing and advertising,-4500.0,DKK
Dk-Ind17.05,Sale of Goods,105.25,DKK
"Shopify* 152366975, Dublin",Software and subscription services,-219.67,DKK
MobilePay Haderslev Fjernvarme,Sale of Goods,-1785.57,DKK
"Shopify* 145686905, Dublin",Software and subscription services,-807.52,DKK
21705193MI 1030000764856933 ROLLZONE*,Inventory / Equipment,-226.57,EUR
21385193MI 1030000759934993 ROLLZONE*,Inventory / Equipment,-160.02,EUR
Dk3dsf22.08,Sale of Goods,282.36,DKK
Dk-Ind26.06,Sale of Goods,302.54,DKK
"Haan Postiljon DORDRECHT, NL",Shipping & Logistics,-2.0,EUR
Dk-Ind08.08,Sale of Goods,765.25,DKK
Dk-Ind17.05,Sale of Goods,194.45,DKK
Dk-Ind05.04,Sale of Goods,226.0,DKK
"Ads5180743448, 650-253-0000",Marketing and advertising,0.0,DKK
Dk-Ind08.05,Sale of Goods,189.3,DKK
1000.00 EUR to UA Trading Company,Inventory / Equipment,1000.0,EUR
B20230622X002HJX000668847319 0030014334522122 Instapark NL52ABNA0554667061,Nonbusiness costs,-11.19,EUR
Dk3dsf12.07,Sale of Goods,496.3,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Dk-Ind03.07,Sale of Goods,885.6,DKK
22074193MI 1030000772416298 ROLLZONE*,Inventory / Equipment,-157.6,EUR
Dk-Ind26.05,Sale of Goods,662.4,DKK
Dk-Ind14.06,Sale of Goods,669.6,DKK
Dk3dsf15.03,Sale of Goods,761.3,DKK
Dk-Ind10.07,Sale of Goods,395.8,DKK
Betaling ordre,Sale of Goods,1699.0,DKK
Dk-Ind23.05,Sale of Goods,627.48,DKK
Dk3dsf06.06,Sale of Goods,1061.05,DKK
Udland - GUANGZHOU BEAUTYWELLNESS,Inventory / Equipment,0.0,DKK
Dk-Ind30.05,Sale of Goods,1273.8,DKK
Dk3dsf11.05,Sale of Goods,236.9,DKK
Dk-Ind03.05,Sale of Goods,191.25,DKK
Dk-Ind06.06,Sale of Goods,181.5,DKK
Dk3dsf09.08,Sale of Goods,219.3,DKK
Dk-Ind17.05,Sale of Goods,444.9,DKK
Dk-Ind21.08,Sale of Goods,1421.95,DKK
Dk-Ind23.05,Sale of Goods,233.7,DKK
MobilePay: MobilePay Mia Møller,Sale of Goods,-1500.0,DKK
Advis 122305251202473 / Clearhaus AS,Sale of Goods,29731.8,DKK
Dk3dsf20.03,Sale of Goods,509.15,DKK
Pachamama,Sale of Goods,-2986.2,DKK
Dk-Ind30.07,Sale of Goods,1105.1,DKK
"FACEBK JJ7CBLPTK2, fb.me/ads",Marketing and advertising,-6000.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind11.05,Sale of Goods,595.3,DKK
Dk-Ind20.07,Sale of Goods,403.9,DKK
Dk-Ind20.06,Sale of Goods,289.8,DKK
Dk-Ind03.04,Sale of Goods,348.95,DKK
Nota nr,Debit-/Credit payments,-2485.66,DKK
Dk3dsf17.08,Sale of Goods,375.73,DKK
Dk-Ind15.06,Sale of Goods,254.4,DKK
"Upwork -519276884REF, +1",Software and subscription services,-1363.21,DKK
[ViaBill] Overførsel,Sale of Goods,232.25,DKK
"FACEBK R9WTNLBXC2, fb.me/ads",Marketing and advertising,0.0,DKK
Dk-Ind14.06,Sale of Goods,226.8,DKK
Dk-Ind14.06,Sale of Goods,337.7,DKK
"Auto Hopper Rotterdam Rotterdam, NL","Rent, mortgage & utilities",-87.41,EUR
Dk-Ind01.06,Sale of Goods,358.9,DKK
21314193MI 1030000759148890 ROLLZONE*,Inventory / Equipment,-160.02,EUR
LeverandørService 56294SM LOGISTIK APS,Shipping & Logistics,0.0,DKK
Dk-Ind27.03,Sale of Goods,1197.6,DKK
"Ads3297518833, 650-253-0000",Marketing and advertising,-6000.0,DKK
Dk-Ind23.08,Sale of Goods,69.83,DKK
"Elgiganten Haderslev, Haderslev",Office-/warehouse supplies & interior,-88.0,DKK
Dk-Ind11.08,Sale of Goods,125.13,DKK
MobilePay: MobilePay Margrethe Hørlyck,Sale of Goods,-40.0,DKK
Dk-Ind10.05,Sale of Goods,604.8,DKK
"ADS4649893433, ccØgoogle.co",Marketing and advertising,-2000.0,DKK
Privat,Intragroup exchange,-18000.0,DKK
B20230620X002HJX000667653459 0030014309671458 Instapark NL52ABNA0554667061,Nonbusiness costs,-11.88,EUR
Dk3dsf30.05,Sale of Goods,52.0,DKK
Dk-Ind24.07,Sale of Goods,324.9,DKK
Dk3dsf10.08,Sale of Goods,189.3,DKK
Dk-Ind19.07,Sale of Goods,263.7,DKK
Dk-Ind18.07,Sale of Goods,494.43,DKK
Shipmondo.com (DK),Shipping & Logistics,-46.75,DKK
Dk-Ind14.06,Sale of Goods,655.9,DKK
"Snap, 310-399-3339",Marketing and advertising,-10.03,DKK
Postering,Shipping & Logistics,-105.0,DKK
LeverandørService 56294SM LOGISTIK APS,Shipping & Logistics,-212.5,DKK
Dk-Ind04.05,Sale of Goods,472.24,DKK
Dk-Ind12.04,Sale of Goods,161.7,DKK
Dk-Ind19.05,Sale of Goods,205.0,DKK
-100.00 EUR to Mohammad Umair,Nonbusiness costs,-100.0,EUR
Udland - GUANGZHOU GUANGYANGZHIXING,Inventory / Equipment,-33963.78,DKK
Dk3dsf09.07,Sale of Goods,783.85,DKK
10852425 Txid 744521433 Multisafepay Payout merchant:10852425 04-07-2023,Sale of Goods,3400.25,EUR
Fragt med lidt moms på,VAT and income tax,0.0,DKK
"Shopify* 174779195, Dublin",Software and subscription services,0.0,DKK
Dk3dsf07.08,Sale of Goods,103.55,DKK
Dk-Ind22.03,Sale of Goods,285.6,DKK
Dk3dsf06.07,Sale of Goods,357.85,DKK
Dk-Ind16.06,Sale of Goods,324.8,DKK
CAMETTE APS,Inventory / Equipment,-476.44,DKK
Dk3dsf04.05,Sale of Goods,1495.6,DKK
Dk-Ind01.05,Sale of Goods,177.6,DKK
Advis 122210110219191,Sale of Goods,0.0,DKK
Dk-Ind14.08,Sale of Goods,204.45,DKK
Dk-Ind18.06,Sale of Goods,467.0,DKK
Dk-Ind08.05,Sale of Goods,538.25,DKK
Advis 122211080139461,Sale of Goods,1873.75,DKK
Dk3dsf17.08,Sale of Goods,333.95,DKK
"Upwork -519276884REF, +1",Software and subscription services,0.0,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
MobilePay A.Vogel Danmark A/S,Sale of Goods,-5484.0,DKK
Dk-Ind19.05,Sale of Goods,693.6,DKK
Dk3dsf24.03,Sale of Goods,2795.05,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind23.06,Sale of Goods,334.35,DKK
LeverandørService 58696MXNEY FINANCE APS,Loans/ Debts,-18422.42,DKK
Dk-Ind07.06,Sale of Goods,915.6,DKK
Dk-Ind08.08,Sale of Goods,5418.75,DKK
Dk-Ind04.05,Sale of Goods,472.23,DKK
Dk-Ind17.05,Sale of Goods,66.15,DKK
Advis 122306021202489 / Clearhaus AS,Sale of Goods,83014.6,DKK
Advis 122302241202426 / OVERFØRSEL,Transfer,0.0,DKK
Dk-Ind09.08,Sale of Goods,289.73,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind17.03,Sale of Goods,534.4,DKK
Advis 122302171202305 / OVERFØRSEL,Sale of Goods,3180.48,DKK
"Postnord Porto, Koebenhavn S",Shipping & Logistics,0.0,DKK
Dk-Ind17.03,Sale of Goods,229.15,DKK
"FACEBK 9N9F4RBTK2, fb.me/ads",Marketing and advertising,-6000.0,DKK
LeverandørService 53821MXNEY APS,Loans/ Debts,0.0,DKK
22035193MI 1030000771556250 ROLLZONE*,Inventory / Equipment,-190.27,EUR
"Snap, 310-399-3339",Marketing and advertising,-11.94,DKK
Dk3dsf11.07,Sale of Goods,355.75,DKK
"FACEBK JJ7CBLPTK2, fb.me/ads",Marketing and advertising,0.0,DKK
Postering,Shipping & Logistics,-738.0,DKK
Dk3dsf12.06,Sale of Goods,1002.5,DKK
"FACEBK C7XLVL7G92, fb.me/ads,",Marketing and advertising,-1499.27,DKK
Dk-Ind11.05,Sale of Goods,167.45,DKK
Paddle.Net,Software and subscription services,-135.22,DKK
-5300.00 EUR to UA Trading Company,Inventory / Equipment,-5300.0,EUR
Dk-Ind09.06,Sale of Goods,170.45,DKK
Dk-Ind01.05,Sale of Goods,326.15,DKK
Dk3dsf11.05,Sale of Goods,652.25,DKK
Advis 122305081202476 / Clearhaus AS,Sale of Goods,6041.25,DKK
Dk3dsf12.06,Sale of Goods,232.3,DKK
Rente af indestående,Interest payments,0.0,DKK
Dk-Ind17.04,Sale of Goods,341.35,DKK
Dk-Ind18.04,Sale of Goods,2772.4,DKK
21941193MI 1030000770309225 ROLLZONE*,Inventory / Equipment,-70.18,EUR
Dk-Ind22.05,Sale of Goods,845.35,DKK
Dk-Ind04.05,Sale of Goods,1339.86,DKK
Dk-Ind27.06,Sale of Goods,1176.4,DKK
Dk-Ind17.03,Sale of Goods,312.2,DKK
Dk-Ind02.06,Sale of Goods,486.7,DKK
MobilePay A.Vogel Danmark A/S,Sale of Goods,-2257.1,DKK
Dk-Ind01.05,Sale of Goods,1425.0,DKK
Influencer,Marketing and advertising,0.0,DKK
21747193MI 1030000765680460 ROLLZONE*,Inventory / Equipment,-170.91,EUR
Dk-Ind01.08,Sale of Goods,138.5,DKK
"Simply.com, Skanderborg",Software and subscription services,-84.56,DKK
Dk3dsf19.04,Sale of Goods,392.4,DKK
Dk3dsf29.03,Sale of Goods,1175.2,DKK
Dk-Ind25.07,Sale of Goods,660.53,DKK
Advis 122210271402040,Sale of Goods,5501.65,DKK
Dk-Ind03.08,Sale of Goods,1306.88,DKK
"Ads3297518833, Cc Google.Com",Marketing and advertising,-6000.0,DKK
Dk3dsf05.04,Sale of Goods,3122.75,DKK
Helsam,Inventory / Equipment,-18582.97,DKK
Dk-Ind11.05,Sale of Goods,446.1,DKK
Dk-Ind12.06,Sale of Goods,138.85,DKK
Advis 122302131206171 / OVERFØRSEL,Transfer,0.0,DKK
Dk-Ind09.05,Sale of Goods,321.06,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
5300.00 EUR to UA Trading Company,Inventory / Equipment,5300.0,EUR
Dk-Ind17.08,Sale of Goods,122.1,DKK
Dk-Ind08.05,Sale of Goods,72.1,DKK
Dk-Ind11.04,Sale of Goods,693.25,DKK
Dk-Ind06.06,Sale of Goods,344.1,DKK
LeverandørService 53821MXNEY APS,Loans/ Debts,0.0,DKK
Dk-Ind06.07,Sale of Goods,517.3,DKK
CH2033327,Sale of Goods,0.0,DKK
Postering,Shipping & Logistics,-105.0,DKK
"Upwork -531175877REF, Dublin",Software and subscription services,-3024.37,DKK
"www.fiverr.com, INTERNET",Professional fees,-1126.88,DKK
Dk3dsf19.04,Sale of Goods,236.95,DKK
"Upwork -513250813REF, +1",Software and subscription services,0.0,DKK
-398.00 EUR to GoCardless,Loans/ Debts,-398.0,EUR
Advis 122208111402039,Sale of Goods,4577.9,DKK
Pinterest Ads,Marketing and advertising,0.0,DKK
A vogel,Inventory / Equipment,-4617.61,DKK
Dk-Ind14.07,Sale of Goods,472.93,DKK
"Van Duurling Maastricht, Nl",Sale of Goods,-218.0,EUR
Dk-Ind22.03,Sale of Goods,131.12,DKK
Dk-Ind22.08,Sale of Goods,459.0,DKK
Advis 122211221202249,Sale of Goods,0.0,DKK
Dk-Ind17.05,Sale of Goods,1074.9,DKK
Dk-Ind15.08,Sale of Goods,721.1,DKK
Dk-Ind23.08,Sale of Goods,277.83,DKK
Advis 122306020154094,Sale of Goods,2100.0,DKK
2000.00 EUR to UA Trading Company,Inventory / Equipment,2000.0,EUR
Dk3dsf23.06,Sale of Goods,1315.7,DKK
Dk-Ind04.05,Sale of Goods,450.8,DKK
Dk-Ind20.03,Sale of Goods,144.95,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Dk3dsf09.05,Sale of Goods,224.5,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind14.07,Sale of Goods,282.2,DKK
Dk-Ind03.04,Sale of Goods,482.5,DKK
Dk-Ind15.03,Sale of Goods,355.65,DKK
ALLERGICA,Inventory / Equipment,-5754.5,DKK
Dk3dsf04.05,Sale of Goods,328.5,DKK
Dk-Ind07.08,Sale of Goods,229.18,DKK
Dk3dsf28.03,Sale of Goods,1278.6,DKK
Dk-Ind22.08,Sale of Goods,207.3,DKK
Postering,Shipping & Logistics,-6000.0,DKK
LeverandørService 51330AMERO APS,Payment processing,-4305.0,DKK
Dk-Ind22.08,Sale of Goods,588.1,DKK
Dk-Ind29.06,Sale of Goods,331.5,DKK
Dk3dsf08.06,Sale of Goods,655.15,DKK
LeverandørService 53821MXNEY APS,Loans/ Debts,-9157.04,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Dk-Ind16.06,Sale of Goods,867.55,DKK
Dk-Ind15.07,Sale of Goods,1036.8,DKK
Dk-Ind12.05,Sale of Goods,142.9,DKK
"TotalEnergies NV HARMELEN, NL",Nonbusiness costs,-95.13,EUR
Dk-Ind12.06,Sale of Goods,202.3,DKK
21190193MI 1030000757197003 ROLLZONE*,Inventory / Equipment,-170.55,EUR
Dk-Ind06.06,Sale of Goods,514.25,DKK
"Ads5180743448, 650-253-0000",Marketing and advertising,0.0,DKK
Dk3dsf03.07,Sale of Goods,254.65,DKK
Udland - GUANGZHOU BEAUTYWELLNESS,Inventory / Equipment,-35237.76,DKK
Dk-Ind24.05,Sale of Goods,488.8,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
"Canva* I03764-8484185, Camden",Software and subscription services,-89.49,DKK
Dk-Ind20.06,Sale of Goods,151.45,DKK
Dk-Ind12.08,Sale of Goods,196.4,DKK
Dk-Ind10.05,Sale of Goods,163.9,DKK
Dk-Ind01.05,Sale of Goods,162.7,DKK
21651193MI 1030000763847809 ROLLZONE*,Inventory / Equipment,-147.92,EUR
Dk-Ind09.07,Sale of Goods,261.38,DKK
Nets,Sale of Goods,3380.54,DKK
Dk-Ind16.03,Sale of Goods,160.3,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind10.07,Sale of Goods,268.75,DKK
-500.00 EUR to Mohammad Umair,Nonbusiness costs,-500.0,EUR
Anyday Settlement,Sale of Goods,44225.99,DKK
Dk3dsf29.03,Sale of Goods,220.2,DKK
Dk3dsf09.07,Sale of Goods,986.55,DKK
Dk-Ind11.08,Sale of Goods,377.2,DKK
-1900.00 EUR to UA Trading Company,Inventory / Equipment,-1900.0,EUR
Udland - GUANGZHOU BEAUTYWELLNESS,Inventory / Equipment,0.0,DKK
Teller A/S,Sale of Goods,-387.0,DKK
Dk-Ind25.07,Sale of Goods,1119.35,DKK
Dk-Ind04.08,Sale of Goods,251.48,DKK
Dk-Ind10.08,Sale of Goods,599.7,DKK
Kvickly Vojens,Nonbusiness costs,-338.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind22.05,Sale of Goods,158.7,DKK
20813193MI 1030000751682659 ROLLZONE*,Inventory / Equipment,-189.91,EUR
LeverandørService 53821MXNEY APS,Loans/ Debts,0.0,DKK
Dk-Ind19.04,Sale of Goods,188.2,DKK
Dk-Ind07.08,Sale of Goods,319.25,DKK
Dk3dsf11.04,Sale of Goods,110.95,DKK
Postering,Shipping & Logistics,-6000.0,DKK
"Shopify* 149574174, Dublin",Software and subscription services,-215.35,DKK
Nets,Sale of Goods,6897.84,DKK
Dk-Ind17.07,Sale of Goods,151.75,DKK
Nets,Sale of Goods,4901.52,DKK
Dk-Ind09.07,Sale of Goods,355.8,DKK
Dk-Ind23.08,Sale of Goods,250.5,DKK
Advis 122305081202498 / Clearhaus AS,Sale of Goods,82059.02,DKK
Dk-Ind03.08,Sale of Goods,103.9,DKK
Dk-Ind27.07,Sale of Goods,208.3,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind15.08,Sale of Goods,140.75,DKK
Advis 122303271202442 / OVERFØRSEL,Transfer,0.0,DKK
Dk-Ind19.04,Sale of Goods,150.6,DKK
"Shopify* 170559234, Dublin",Software and subscription services,-989.78,DKK
Dk-Ind23.08,Sale of Goods,263.5,DKK
Dk-Ind15.05,Sale of Goods,240.5,DKK
Dk-Ind08.05,Sale of Goods,81.25,DKK
Dk-Ind05.04,Sale of Goods,212.8,DKK
Dk-Ind14.06,Sale of Goods,494.7,DKK
"Ads4649893433, 650-253-0000",Marketing and advertising,-4000.0,DKK
Nets,Sale of Goods,10594.5,DKK
Dk-Ind17.07,Sale of Goods,97.15,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Allergica,Inventory / Equipment,-1215.53,DKK
Dk-Ind12.04,Sale of Goods,250.5,DKK
"Pensopay A/S, Vejle",Payment processing,-190.0,DKK
Dk-Ind22.07,Sale of Goods,349.38,DKK
Dk-Ind15.08,Sale of Goods,874.65,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Allergica,Inventory / Equipment,-5212.66,DKK
"Shopify* 158424409, Dublin",Software and subscription services,0.0,DKK
Dk-Ind31.03,Sale of Goods,505.25,DKK
B20230509X002HJX000645452546 0030013909978366 Instapark NL52ABNA0554667061,Nonbusiness costs,-13.26,EUR
-150.00 EUR to Mohammad Umair,Nonbusiness costs,-150.0,EUR
Dk-Ind13.07,Sale of Goods,241.85,DKK
"Ads3297518833, 650-253-0000",Marketing and advertising,-6000.0,DKK
Advis 122308021202037 / CREDORAX BANK LIMITE,Sale of Goods,7660.9,DKK
Dk-Ind24.07,Sale of Goods,643.65,DKK
Dk-Ind04.05,Sale of Goods,2246.4,DKK
"Snap, 310-399-3339",Marketing and advertising,-10.41,DKK
Dk-Ind12.06,Sale of Goods,274.45,DKK
Dk-Ind01.06,Sale of Goods,121.6,DKK
Dk-Ind03.07,Sale of Goods,468.2,DKK
"Auto Hopper Rotterdam Rotterdam, NL","Rent, mortgage & utilities",-730.68,EUR
Dk-Ind12.08,Sale of Goods,366.7,DKK
Dk-Ind03.05,Sale of Goods,316.95,DKK
Anyday Settlement,Sale of Goods,5987.02,DKK
Dk3dsf19.05,Sale of Goods,539.7,DKK
Dk-Ind21.06,Sale of Goods,538.5,DKK
Dk-Ind03.05,Sale of Goods,149.0,DKK
Dk-Ind30.05,Sale of Goods,219.4,DKK
Postering,Shipping & Logistics,-799.44,DKK
"Udenlandsk overførsel fra KLARNA BANK AB omregnet fra 4568,12 SEK til kurs 66,079500 KRON230511008K5L",Transfer,3018.59,DKK
Norlys.dk/Energi,"Rent, mortgage & utilities",-2622.54,DKK
LeverandørService 53821MXNEY APS,Loans/ Debts,0.0,DKK
